Name,Awards,Institution
Edgar F. Codd,NaN,University of Michigan
Edgar F. Codd,NaN,IBM
Simon Colton,NaN,"Imperial College, London"
Simon Colton,NaN,"Goldsmiths, University of London"
Simon Colton,NaN,"Queen Mary, University of London"
Richard W. Conway,NaN,Cornell University
Richard W. Conway,NaN,RAND Corporation
Stephen Cook,NaN,University of Toronto
Stephen Cook,NaN,"University of California, Berkeley"
Fernando J. Corbató,NaN,Massachusetts Institute of Technology
Ingemar Cox,NaN,University College London
Ingemar Cox,NaN,University of Copenhagen
Seymour Cray,NaN,Engineering Research Associates
Seymour Cray,NaN,Control Data Corporation
Seymour Cray,NaN,Cray Research
Seymour Cray,NaN,Cray Computer Corporation
Seymour Cray,NaN,SRC Computers
Nello Cristianini,NaN,University of Bath
Nello Cristianini,NaN,University of Bristol
Nello Cristianini,NaN,"University of California, Davis"
Nello Cristianini,NaN,"Royal Holloway, University of London"
Jon Crowcroft,NaN,University of Cambridge
Jon Crowcroft,NaN,University College London
Glen Culler,NaN,"University of California, Santa Barbara"
Haskell Curry,NaN,Pennsylvania State University
Haskell Curry,NaN,University of Amsterdam
Ole-Johan Dahl,NaN,Norwegian Computing Center
Samir Das,NaN,Stony Brook University
Jeff Dean,6,Google
Jeff Dean,6,Digital Equipment Corporation
Erik Demaine,NaN,Massachusetts Institute of Technology
Tom DeMarco,NaN,Bell Labs
Dorothy E. Denning,9,Naval Postgraduate School
Dorothy E. Denning,9,Purdue University
Dorothy E. Denning,9,Digital Equipment Corporation
Dorothy E. Denning,9,Georgetown University
Peter J. Denning,NaN,MIT
Peter J. Denning,NaN,Princeton University
Peter J. Denning,NaN,Purdue University
Peter J. Denning,NaN,NASA-Ames Research Center
Peter J. Denning,NaN,George Mason University
Peter J. Denning,NaN,Naval Postgraduate School
Robert Dewar,NaN,Illinois Institute of Technology
Robert Dewar,NaN,New York University
Robert Dewar,NaN,AdaCore
Whitfield Diffie,NaN,Stanford University
Whitfield Diffie,NaN,Sun Microsystems
Whitfield Diffie,NaN,ICANN
Whitfield Diffie,NaN,Zhejiang University
Whitfield Diffie,NaN,Royal Holloway
Whitfield Diffie,NaN,ISG
Edsger W. Dijkstra,10,Mathematisch Centrum
Edsger W. Dijkstra,10,Eindhoven University of Technology
Edsger W. Dijkstra,10,Burroughs Corporation
Edsger W. Dijkstra,10,University of Texas at Austin
Jack Dongarra,NaN,University of Tennessee
Jack Dongarra,NaN,University of New Mexico
Jack Dongarra,NaN,Rice University
Jack Dongarra,NaN,Argonne National Laboratory
Jack Dongarra,NaN,Oak Ridge National Laboratory
Jack Dongarra,NaN,University of Manchester
