Name,Awards,Institution
Alan Mycroft,NaN,University of Cambridge
Alan Mycroft,NaN,Computer Laboratory
Alan Mycroft,NaN,Raspberry Pi Foundation
Brad A. Myers,NaN,Carnegie Mellon University
Makoto Nagao,NaN,Kyoto University
Makoto Nagao,NaN,National Diet Library
Peter Naur,NaN,Regnecentralen
Peter Naur,NaN,Niels Bohr Institute
Peter Naur,NaN,Technical University of Denmark
Peter Naur,NaN,University of Copenhagen
Roger Needham,NaN,University of Cambridge
Roger Needham,NaN,Microsoft
Greg Nelson,NaN,Xerox Palo Alto Research Center
Greg Nelson,NaN,Digital Equipment Corporation
Greg Nelson,NaN,Systems Research Center
Greg Nelson,NaN,Hewlett-Packard Labs
Klara Dan von Neumann,NaN,Princeton University
Klara Dan von Neumann,NaN,"Site Y, Los Alamos"
Allen Newell,20,Carnegie Mellon University
Max Newman,NaN,University of Cambridge
Max Newman,NaN,University of Manchester
Max Newman,NaN,Princeton University
Andrew Ng,NaN,Stanford University
Andrew Ng,NaN,Google Brain
Andrew Ng,NaN,Coursera
Andrew Ng,NaN,Baidu
Tobias Nipkow,NaN,MIT
Tobias Nipkow,NaN,Cambridge University
Tobias Nipkow,NaN,TU Munich
Maurice Nivat,NaN,University of Paris
Jerre Noe,NaN,SRI International
Jerre Noe,NaN,University of Washington
Donald Norman,NaN,Northwestern University
Donald Norman,NaN,"University of California, San Diego"
Donald Norman,NaN,Nielsen Norman Group
Donald Norman,NaN,Korea Advanced Institute of Science and Technology
George Novacky,NaN,University of Pittsburgh
Kristen Nygaard,NaN,Norwegian Defense Research Establishment
Kristen Nygaard,NaN,Norwegian Computing Center
Kristen Nygaard,NaN,Aarhus University
Kristen Nygaard,NaN,Simula Research Laboratory
Peter O'Hearn,NaN,Meta Platforms
Peter O'Hearn,NaN,University College London
Peter O'Hearn,NaN,Queen Mary University of London
Peter O'Hearn,NaN,Syracuse University
Steve Omohundro,NaN,University of Illinois at Urbana-Champaign
Mark Overmars,NaN,Utrecht University
Sankar Pal,NaN,Indian Statistical Institute
Paritosh Pandya,NaN,Oxford University Computing Laboratory
Paritosh Pandya,NaN,Tata Institute of Fundamental Research
Christos Papadimitriou,NaN,"University of California, Berkeley"
Christos Papadimitriou,NaN,Columbia University
Christos Papadimitriou,NaN,Harvard University
Christos Papadimitriou,NaN,MIT
Christos Papadimitriou,NaN,Athens Polytechnic
Christos Papadimitriou,NaN,Stanford University
Christos Papadimitriou,NaN,UCSD
David Park,NaN,Massachusetts Institute of Technology
David Park,NaN,University of Cambridge
David Park,NaN,University of Warwick
David Patterson,3,"University of California, Berkeley"
Mike Paterson,NaN,Massachusetts Institute of Technology
Mike Paterson,NaN,University of Warwick
Mihai Pătraşcu,NaN,AT&T Labs
Lawrence Paulson,NaN,University of Cambridge
Lawrence Paulson,NaN,Technical University of Munich
Randy Pausch,NaN,Carnegie Mellon University
Randy Pausch,NaN,University of Virginia
Juan Pavón,NaN,Complutense University of Madrid
Alan Perlis,NaN,Association for Computing Machinery
Alan Perlis,NaN,Carnegie Mellon University
Alan Perlis,NaN,Purdue University
Alan Perlis,NaN,Yale University
Simon Peyton Jones,NaN,Epic Games
Simon Peyton Jones,NaN,University College London
Simon Peyton Jones,NaN,University of Glasgow
Simon Peyton Jones,NaN,University of Cambridge
Simon Peyton Jones,NaN,Microsoft Research
Keshav Pingali,10,Cornell
Keshav Pingali,10,UT Austin
Gordon Plotkin,NaN,University of Edinburgh
Gordon Plotkin,NaN,Laboratory for Foundations of Computer Science
Gordon Plotkin,NaN,School of Informatics
Gordon Plotkin,NaN,University of Glasgow
Amir Pnueli,6,Tel Aviv University
Amir Pnueli,6,Weizmann Institute
Amir Pnueli,6,New York University
Amir Pnueli,6,University of Pennsylvania
Amir Pnueli,6,Stanford University
Willem van der Poel,NaN,Delft University of Technology
Cicely Popplewell,NaN,University of Manchester
Emil Post,NaN,Princeton University
Franco Preparata,NaN,Brown University
Franco Preparata,NaN,University of Illinois at Urbana-Champaign
William H. Press,NaN,Harvard University
William H. Press,NaN,Los Alamos National Laboratory
William H. Press,NaN,University of Texas at Austin
Grzegorz Rozenberg,NaN,Leiden University
Michael O. Rabin,NaN,Harvard University
Michael O. Rabin,NaN,Hebrew University of Jerusalem
Michael O. Rabin,NaN,Columbia University
Brian Randell,NaN,Newcastle University
Anders P. Ravn,NaN,University of Copenhagen
Anders P. Ravn,NaN,Technical University of Denmark
Anders P. Ravn,NaN,Aalborg University
Raj Reddy,NaN,IIIT Hyderabad
Raj Reddy,NaN,Carnegie Mellon University
Raj Reddy,NaN,Stanford University
Trygve Reenskaug,NaN,Xerox PARC
Trygve Reenskaug,NaN,Taskon
Trygve Reenskaug,NaN,University of Oslo
John C. Reynolds,NaN,Syracuse University
John C. Reynolds,NaN,Carnegie Mellon University
Reinder van de Riet,NaN,Vrije Universiteit Amsterdam
Martin Richards,NaN,University of Cambridge Computer Laboratory
C. J. van Rijsbergen,NaN,Monash University
C. J. van Rijsbergen,NaN,University of Glasgow
Dennis Ritchie,NaN,Lucent Technologies
Dennis Ritchie,NaN,Bell Labs
Ron Rivest,NaN,Massachusetts Institute of Technology
Ken Robinson,NaN,University of New South Wales
Azriel Rosenfeld,NaN,"University of Maryland, College Park"
Douglas T. Ross,NaN,Massachusetts Institute of Technology
Douglas T. Ross,NaN,SofTech
Steven Rudich,NaN,Carnegie Mellon
Jeff Rulifson,NaN,Stanford Research Institute
Jeff Rulifson,NaN,Xerox PARC
Jeff Rulifson,NaN,ROLM
Jeff Rulifson,NaN,Sun Microsystems
Jeff Rulifson,NaN,Syntelligence
Peter Ružička,NaN,Comenius University
Mehrnoosh Sadrzadeh,NaN,Queen Mary University of London
Mehrnoosh Sadrzadeh,NaN,University College London
Gerard Salton,NaN,Cornell University
Mahadev Satyanarayanan,NaN,Carnegie Mellon University
Walter Savitch,NaN,"University of California, San Diego"
Jonathan Schaeffer,NaN,University of Alberta
Jürgen Schmidhuber,NaN,Dalle Molle Institute for Artificial Intelligence Research
Steve Schneider,NaN,"Royal Holloway, University of London"
Steve Schneider,NaN,University of Surrey
Bruce Schneier,NaN,Harvard University
Bruce Schneier,NaN,Counterpane Internet Security
Bruce Schneier,NaN,Bell Labs
Bruce Schneier,NaN,United States Department of Defense
Bruce Schneier,NaN,BT Group
Fred B. Schneider,14,Cornell University
Sarita Schoenebeck,6,University of Michigan
Bernhard Schölkopf,NaN,Max Planck Institute for Intelligent Systems
Dana Scott,NaN,University of Chicago
Dana Scott,NaN,UC Berkeley
Dana Scott,NaN,Stanford
Dana Scott,NaN,Merton College
Dana Scott,NaN,University of Oxford
Dana Scott,NaN,Carnegie Mellon University
Robert Sedgewick,3,Princeton University
Robert Sedgewick,3,Brown University
Ravi Sethi,NaN,Penn State University
Ravi Sethi,NaN,Bell Labs
Ravi Sethi,NaN,Avaya Labs Research
Ravi Sethi,NaN,University of Arizona
Nigel Shadbolt,11,"Jesus College, Oxford"
Nigel Shadbolt,11,University of Oxford
Nigel Shadbolt,11,Open Data Institute
Nigel Shadbolt,11,University of Southampton
Nigel Shadbolt,11,University of Nottingham
Adi Shamir,11,Weizmann Institute
Adi Shamir,11,Massachusetts Institute of Technology
Claude Shannon,15,Bell Labs
Claude Shannon,15,MIT
Claude Shannon,15,Institute for Advanced Study
Scott Shenker,NaN,"University of California, Berkeley"
Scott Shenker,NaN,Xerox Corporation
Scott Shenker,NaN,University of Southern California
Ben Shneiderman,NaN,"University of Maryland, College Park"
Daniel Siewiorek,NaN,Carnegie Mellon University
Herbert A. Simon,4,Carnegie Mellon University
Munindar P. Singh,NaN,North Carolina State University
Munindar P. Singh,NaN,Microelectronics and Computer Technology Corporation
Ramesh Sitaraman,NaN,"University of Massachusetts, Amherst"
Daniel Sleator,NaN,Carnegie Mellon University
Aaron Sloman,NaN,University of Sussex
Aaron Sloman,NaN,University of Birmingham
Brian Cantwell Smith,NaN,University of Toronto
Brian Cantwell Smith,NaN,Duke University
Brian Cantwell Smith,NaN,Indiana University
Brian Cantwell Smith,NaN,Xerox Palo Alto Research Center
Brian Cantwell Smith,NaN,Stanford University
David Canfield Smith,NaN,Stanford Artificial Intelligence Laboratory
David Canfield Smith,NaN,Stanford Research Institute
David Canfield Smith,NaN,Xerox
David Canfield Smith,NaN,VisiCorp
David Canfield Smith,NaN,Apple Computer
David Canfield Smith,NaN,IBM
Carol Spradling,NaN,Northwest Missouri State University
Richard E. Stearns,NaN,University at Albany
"Guy L. Steele, Jr.",NaN,Carnegie Mellon University
"Guy L. Steele, Jr.",NaN,Tartan Laboratories
"Guy L. Steele, Jr.",NaN,Thinking Machines
"Guy L. Steele, Jr.",NaN,Sun Microsystems
"Guy L. Steele, Jr.",NaN,Oracle Corporation
Thomas Sterling,NaN,Indiana University
Thomas Sterling,NaN,Louisiana State University
Thomas Sterling,NaN,California Institute of Technology
Thomas Sterling,NaN,NASA - Jet Propulsion Laboratory
Thomas Sterling,NaN,NASA - Goddard Space Flight Center
Thomas Sterling,NaN,University of Maryland
Thomas Sterling,NaN,Institute for Defense Analysis (IDA)
Thomas Sterling,NaN,Harris Corporation
Michael Stonebraker,NaN,"University of California, Berkeley"
Michael Stonebraker,NaN,University of Michigan
Michael Stonebraker,NaN,Massachusetts Institute of Technology
Christopher Strachey,NaN,University of Cambridge
Christopher Strachey,NaN,University of Oxford
Christopher Strachey,NaN,"St Edmund's School, Canterbury"
Christopher Strachey,NaN,Harrow School
Volker Strassen,NaN,University of Konstanz
Bjarne Stroustrup,14,Aarhus University
Bjarne Stroustrup,14,University of Cambridge
Bjarne Stroustrup,14,Texas A&M University
Bjarne Stroustrup,14,Bell Labs
Bjarne Stroustrup,14,Morgan Stanley
Bjarne Stroustrup,14,Columbia University
Gerald Jay Sussman,NaN,Massachusetts Institute of Technology
Bert Sutherland,NaN,United States Navy
Bert Sutherland,NaN,BBN Technologies
Bert Sutherland,NaN,Xerox PARC
Bert Sutherland,NaN,Sun Microsystems
Ivan Sutherland,15,Harvard University
Ivan Sutherland,15,University of Utah
Ivan Sutherland,15,Evans and Sutherland
Ivan Sutherland,15,California Institute of Technology
Ivan Sutherland,15,Carnegie Mellon University
Ivan Sutherland,15,Sun Microsystems
Ivan Sutherland,15,Portland State University
Ivan Sutherland,15,Advanced Research Projects Agency
Latanya Sweeney,NaN,Harvard University
Latanya Sweeney,NaN,Carnegie Mellon University
Mario Szegedy,NaN,Rutgers University
Austin Tate,NaN,University of Edinburgh
Bernhard Thalheim,NaN,Christian-Albrechts-Universität
Bernhard Thalheim,NaN,Lomonosov Moscow State University
Bernhard Thalheim,NaN,Brandenburg Technical University
Bernhard Thalheim,NaN,University of Rostock
Bernhard Thalheim,NaN,Dresden University of Technology
Éva Tardos,NaN,Cornell University
Gábor Tardos,NaN,Central European University
Gábor Tardos,NaN,Alfréd Rényi Mathematical Institute
Gábor Tardos,NaN,Simon Fraser University
Gábor Tardos,NaN,University of Chicago
Gábor Tardos,NaN,Rutgers University
Gábor Tardos,NaN,University of Toronto
Gábor Tardos,NaN,Princeton Institute for Advanced Study
Valerie Taylor,7,Texas A&M University
Valerie Taylor,7,Northwestern University
Jaime Teevan,NaN,Microsoft Research
Shang-Hua Teng,NaN,University of Southern California
Shang-Hua Teng,NaN,University of Illinois at Urbana-Champaign
Shang-Hua Teng,NaN,Boston University
Shang-Hua Teng,NaN,University of Minnesota
Shang-Hua Teng,NaN,Massachusetts Institute of Technology
Larry Tesler,NaN,Xerox PARC
Larry Tesler,NaN,Apple
Larry Tesler,NaN,Amazon
Larry Tesler,NaN,Yahoo!
Charles P. Thacker,NaN,Xerox
Charles P. Thacker,NaN,DEC
Charles P. Thacker,NaN,Microsoft Research
Daniel Thalmann,NaN,Nanyang Technological University
Daniel Thalmann,NaN,EPFL
Daniel Thalmann,NaN,University of Montreal
Ken Thompson,NaN,Bell Labs
Ken Thompson,NaN,Google
Sebastian Thrun,11,Google X Lab
Sebastian Thrun,11,Stanford University
Sebastian Thrun,11,Carnegie Mellon University
Sebastian Thrun,11,Udacity
Walter F. Tichy,NaN,Karlsruhe Institute of Technology
Walter F. Tichy,NaN,Purdue University
Gloria Townsend,NaN,DePauw University
Joseph F Traub,NaN,Columbia University
John Tukey,NaN,Bell Labs
John Tukey,NaN,Princeton University
Alan Turing,NaN,University of Manchester
Alan Turing,NaN,Government Code and Cypher School
Alan Turing,NaN,National Physical Laboratory
David Turner,NaN,Queen Mary University of London
David Turner,NaN,University of Texas at Austin
David Turner,NaN,University of Kent
David Turner,NaN,Middlesex University
Murray Turoff,NaN,New Jersey Institute of Technology
Murray Turoff,NaN,Rutgers–Newark
Jeffrey D. Ullman,NaN,Stanford University
Leslie Valiant,NaN,Harvard University
Leslie Valiant,NaN,University of Edinburgh
Moshe Vardi,8,Rice University
Moshe Vardi,8,IBM Research
Moshe Vardi,8,Stanford University
Dorothy Vaughan,7,NACA
Dorothy Vaughan,7,Langley Research Center
Bernard Vauquois,NaN,French National Centre for Scientific Research
Bernard Vauquois,NaN,Meudon Observatory
Bernard Vauquois,NaN,Grenoble University
Manuela M. Veloso,NaN,JPMorgan Chase
Manuela M. Veloso,NaN,Carnegie Mellon University
Sergiy Vilkomir,NaN,London South Bank University
Sergiy Vilkomir,NaN,University of Wollongong
Sergiy Vilkomir,NaN,University of Limerick
Sergiy Vilkomir,NaN,University of Tennessee
Sergiy Vilkomir,NaN,East Carolina University
Paul Vitanyi,8,CWI
Paul Vitanyi,8,University of Amsterdam
Paul Vitanyi,8,University of Copenhagen
Paul Vitanyi,8,Massachusetts Institute of Technology
Paul Vitanyi,8,Monash University
Paul Vitanyi,8,Tokyo Institute of Technology
Paul Vitanyi,8,NICTA
Paul Vitanyi,8,University of New South Wales
Paul Vitanyi,8,Boston University
Paul Vitanyi,8,University of Waterloo
Andrew Viterbi,NaN,University of Southern California
Andrew Viterbi,NaN,The Scripps Research Institute
Andrew Viterbi,NaN,Sanford Burnham Medical Research Institute
Eiiti Wada,NaN,University of Tokyo
Eiiti Wada,NaN,Massachusetts Institute of Technology
Eiiti Wada,NaN,Internet Initiative Japan
David Waltz,NaN,Columbia University
David Waltz,NaN,NEC Research
David Waltz,NaN,Brandeis University
David Waltz,NaN,Thinking Machines Corporation
David Waltz,NaN,University of Illinois at Urbana-Champaign
James Z. Wang,NaN,Pennsylvania State University
Manfred K. Warmuth,NaN,"University of California, Santa Cruz"
Manfred K. Warmuth,NaN,Google
David H. D. Warren,NaN,SRI International
David H. D. Warren,NaN,University of Bristol
Kevin Warwick,NaN,Somerville College
Kevin Warwick,NaN,University of Oxford
Kevin Warwick,NaN,Newcastle University
Kevin Warwick,NaN,University of Warwick
Kevin Warwick,NaN,University of Reading
Kevin Warwick,NaN,Coventry University
Jan Weglarz,NaN,Poznań University of Technology
Philip Wadler,NaN,University of Edinburgh
Philip Wadler,NaN,Avaya
Philip Wadler,NaN,Bell Labs
Philip Wadler,NaN,University of Glasgow
Philip Wadler,NaN,University of Sydney
Philip Wadler,NaN,University of Copenhagen
Philip Wadler,NaN,University of Oxford
Philip Wadler,NaN,Chalmers University of Technology
Philip Wadler,NaN,Carnegie Mellon University
Philip Wadler,NaN,Stanford University
Peter Wegner,NaN,University of London
Peter Wegner,NaN,University of Cambridge
Peter Wegner,NaN,Brown University
Joseph Henry Wegstein,NaN,National Bureau of Standards
Peter J. Weinberger,NaN,University of Michigan
Peter J. Weinberger,NaN,Bell Labs
Peter J. Weinberger,NaN,Renaissance Technologies
Peter J. Weinberger,NaN,Google Inc.
Joseph Weizenbaum,NaN,MIT
Joseph Weizenbaum,NaN,Harvard University
David Wheeler,NaN,University of Cambridge
David Wheeler,NaN,"Computer Lab, Cambridge"
David Wheeler,NaN,"Darwin College, Cambridge"
Steve Whittaker,5,"University of California, Santa Cruz"
Jennifer Widom,NaN,Stanford University
Jennifer Widom,NaN,IBM Almaden Research Center
Jennifer Widom,NaN,Cornell University
Jennifer Widom,NaN,Xerox Palo Alto Research Center
Gio Wiederhold,NaN,Stanford University
Norbert Wiener,8,Massachusetts Institute of Technology
Adriaan van Wijngaarden,4,University of Amsterdam
Adriaan van Wijngaarden,4,Mathematisch Centrum in Amsterdam
Mary Allen Wilkes,NaN,MIT
Mary Allen Wilkes,NaN,Washington University in St. Louis
Maurice Vincent Wilkes,NaN,University of Cambridge
Maurice Vincent Wilkes,NaN,Cavendish Laboratory
Maurice Vincent Wilkes,NaN,Telecommunications Research Establishment
Maurice Vincent Wilkes,NaN,Mathematical Lab
Maurice Vincent Wilkes,NaN,British Computer Society
Maurice Vincent Wilkes,NaN,Digital Equipment Corporation
Maurice Vincent Wilkes,NaN,Hewlett-Packard
Maurice Vincent Wilkes,NaN,AT & T
Maurice Vincent Wilkes,NaN,Olivetti
Yorick Wilks,19,University of Sheffield
Yorick Wilks,19,University of Oxford
James H. Wilkinson,NaN,National Physical Laboratory
Sophie Wilson,NaN,University of Cambridge
Sophie Wilson,NaN,Broadcom Corporation
Sophie Wilson,NaN,Acorn Computers
Shmuel Winograd,NaN,Technion – Israel Institute of Technology
Terry Winograd,NaN,Stanford University
Terry Winograd,NaN,Google
Niklaus Wirth,NaN,ETH Zurich
Niklaus Wirth,NaN,Stanford University
Niklaus Wirth,NaN,University of Zurich
Niklaus Wirth,NaN,Xerox PARC
Neil Wiseman,NaN,University of Cambridge
Stephen Wolfram,NaN,Wolfram Research
Stephen Wolfram,NaN,Thinking Machines Corporation
Stephen Wolfram,NaN,California Institute of Technology
Stephen Wolfram,NaN,Institute for Advanced Study
Stephen Wolfram,NaN,University of Illinois at Urbana–Champaign
Mike Woodger,NaN,National Physical Laboratory
Philip Woodward,NaN,Telecommunications Research Establishment
Philip Woodward,NaN,Royal Signals and Radar Establishment
William Wulf,NaN,Carnegie Mellon University
William Wulf,NaN,University of Virginia
William Wulf,NaN,Tartan Laboratories
Mihalis Yannakakis,NaN,Columbia University
Andrew Chi-Chih Yao,NaN,Stanford University
Andrew Chi-Chih Yao,NaN,"University of California, Berkeley"
Andrew Chi-Chih Yao,NaN,Princeton University
Andrew Chi-Chih Yao,NaN,Tsinghua University
Andrew Chi-Chih Yao,NaN,Chinese University of Hong Kong
John Yen,NaN,Pennsylvania State University
Nobuo Yoneda,NaN,University of Tokyo
Nobuo Yoneda,NaN,Gakushuin University
Nobuo Yoneda,NaN,Tokyo Denki University
Edward Yourdon,NaN,Cutter Consortium
Moti Yung,12,IBM Research
Moti Yung,12,CertCo
Moti Yung,12,RSA Laboratories
Moti Yung,12,Snap Inc.
Moti Yung,12,Google
Lotfi Zadeh,17,"University of California, Berkeley"
Arif Zaman,NaN,Purdue University
Arif Zaman,NaN,Florida State University
Arif Zaman,NaN,Lahore University of Management Sciences
Stanley Zdonik,NaN,Brown University
Hussein Zedan,NaN,University of York
Hussein Zedan,NaN,De Montfort University
Hussein Zedan,NaN,Applied Science University
Shlomo Zilberstein,NaN,"University of Massachusetts, Amherst"
Jill Zimmerman,NaN,Goucher College
